stage,architecture,detector_seed,arm,fit_role,C,validation_AP,test_AP,n_iter,convergence_warning,hit_max_iter,converged,coef_sha256,intercept_sha256
s2,xlstm,22,H+O1r,validation_candidate,10.0,0.9148062319141823,,3095,False,False,True,7091b456acf2edf2c01a3ec3f74c1d75a90854a7bc27f3361c8bcfc47c458214,d63b6cb9d6c7fe5dafe89482238f31a8cbe6539e0ec8d5959942e090b8fa115e
s2,xlstm,22,H+O1r,validation_candidate,100.0,0.9151051487948496,,2804,False,False,True,03d8908f2f56ae279fe3dcbaa82416ee02534f1f67a85b9e0ed5a6518517e399,678f583ae327e4ad4caf90de0c5289754623137142243aeb8bf06b0bb3320a52
s2,xlstm,22,H+O1r,selected_final,100.0,0.9151051487948496,0.9166125368958011,2804,False,False,True,03d8908f2f56ae279fe3dcbaa82416ee02534f1f67a85b9e0ed5a6518517e399,678f583ae327e4ad4caf90de0c5289754623137142243aeb8bf06b0bb3320a52
s2,xlstm,22,H+O1r+I,validation_candidate,0.001,0.936373538006907,,199,False,False,True,2b9d2edeeaeef23bd8bb326c6f6d409915681683489ea233caf2049aede7b99f,562cde2a21039a4f5552a7b124dc7ae84574da5a2ce99ace99d81c79130f7e05
s2,xlstm,22,H+O1r+I,validation_candidate,0.01,0.935063979167335,,448,False,False,True,0f6cb54ba5ddef48b8bcb9360204cd7b90334c260afdcc8c56b8ba19bde9dae5,4fd0d9ae65e5cc0d6864df95e32579f3f9fe6dca9a124db827216e72a4fb24bb
s2,xlstm,22,H+O1r+I,validation_candidate,0.1,0.9345734784991393,,991,False,False,True,17f10131100b33a220e572b31c25ab3ce177e4f90d3131467077eb133c1f0e82,fc0dbe1610ce6b363765677890517695a8b76fbfb8cea716483c3736a8ece895
s2,xlstm,22,H+O1r+I,validation_candidate,1.0,0.9347306246343398,,1954,False,False,True,9de01af58a3aee8e75be8ea42195bc8a76add1e3a963b22d93f944f55e93ffbf,2fdc013ba1c997d054490a30aa62df64af8b25cfdc0c64e7922c8215873c457c
s2,xlstm,22,H+O1r+I,validation_candidate,10.0,0.9345578690094937,,2245,False,False,True,6a13aba4ac55a71ce1ca2dfb97677839c1e8b60a9f7aa03d1da74c004598c616,54fa9e93c9fe3120ccd7e397346e9586f5a51695ef733149fb56065e41344429
s2,xlstm,22,H+O1r+I,validation_candidate,100.0,0.934825606781479,,2936,False,False,True,794138a8cc5c092a9f2d0080e23171d93754e6e2cc166f40a4425802e57adbe3,d56ffac243b1234c1bea68efba73d26eb25848a34a726b397db2797b27797f37
s2,xlstm,22,H+O1r+I,selected_final,0.001,0.936373538006907,0.932907627241978,199,False,False,True,2b9d2edeeaeef23bd8bb326c6f6d409915681683489ea233caf2049aede7b99f,562cde2a21039a4f5552a7b124dc7ae84574da5a2ce99ace99d81c79130f7e05
s2,xlstm,33,H+O1r,validation_candidate,0.001,0.9082366483514412,,201,False,False,True,7f6af8922b36567955f89302d7da1750bda4e738d425484e5731032a85fe030c,0dd9f19460a4e0a8ecec39f8fa8322e8ae295f8c3c767bf88453fe3e5606b3c4
s2,xlstm,33,H+O1r,validation_candidate,0.01,0.9079801314599744,,443,False,False,True,0893cb87bbf8924cd38c4a65773e01c684dad0a7a5a7b5786b5a789c0cc221f6,647ea7f8b6b5ce6b1baa9dfe9a1b0c1667f98a3fe96eabc978cb72a81a33e4de
s2,xlstm,33,H+O1r,validation_candidate,0.1,0.9084859451264502,,1126,False,False,True,fc1097c3c65ba29c24bfad0adaaf0e717ef7bf12518d34288ef2ee4a1b56f866,d1421f8b0bf9d3b9314f24b1a64e25c441b78935e0680cf5eac0ca52d24e7a47
s2,xlstm,33,H+O1r,validation_candidate,1.0,0.9093596208609649,,2039,False,False,True,e74716674de38d0f533ef7e2642bf01e5542ec0c1f0d805639ef19aabb259e33,6d789adf7831b908ae240e89df6caa27b883d140a3446ddbd5d10e4697507a97
s2,xlstm,33,H+O1r,validation_candidate,10.0,0.909601424936828,,2382,False,False,True,cdf737d3cbf8332a7c83fac9becfeb0a1485f3d2c822158c55f1a905d12d0333,9466650eac875ad4daebaa8dc989e8f23142732bb0a72fc1a6a564403b9f999b
s2,xlstm,33,H+O1r,validation_candidate,100.0,0.9096507890169488,,2826,False,False,True,664693db50cde7ed6a8f2a19d2e0841b30dff2269bf1a439f958e93863546a10,657f1f2601ad72a3f8c29232f7c2e9e26e9b58acd656196c5b855062822eb05b
s2,xlstm,33,H+O1r,selected_final,100.0,0.9096507890169488,0.9001540911433747,2826,False,False,True,664693db50cde7ed6a8f2a19d2e0841b30dff2269bf1a439f958e93863546a10,657f1f2601ad72a3f8c29232f7c2e9e26e9b58acd656196c5b855062822eb05b
s2,xlstm,33,H+O1r+I,validation_candidate,0.001,0.9424326652327144,,179,False,False,True,8d052e5beaca8c2c03cbac40de7593cd372258e86e21babc94f2d4f57060ff33,dfaaec2072c63888d88c548b828e6e69594ac343517f7a5d10f3470118e31652
s2,xlstm,33,H+O1r+I,validation_candidate,0.01,0.940759465486869,,438,False,False,True,9379109db67aa3523d971ab341ce943c24e1ced0101ea63bc9aac64fdd2aa702,038f50f408cf0999ed899fd7159e3cd4717b7607717c95691b921c9318ff22b7
s2,xlstm,33,H+O1r+I,validation_candidate,0.1,0.940043009286883,,962,False,False,True,1304e811e5149a1120672c6571ece9a92a25b331e4f48a82e7d8680bdd93b69f,e44d89450489410e211219e0d92cef9295f031c3a4aa5e1637bc9552c345a8cc
s2,xlstm,33,H+O1r+I,validation_candidate,1.0,0.9396417659028578,,1871,False,False,True,98386b2224aa889d5634f345efe360c2783783c2c47e8f7c9fb7f38b318d9454,03b2f5b3fa459bb0f7c33c0f89f5d3976ae8dc5387eec98fd7aee2e4be2589dd
s2,xlstm,33,H+O1r+I,validation_candidate,10.0,0.9392944036160589,,2590,False,False,True,0bddf0e92ad8af3fce7a891d81ef9943f511bfb7ec0f7fe2418bcc664e105665,58b2d977cf5cde237d66859613c3938eba525b7feae2509517a839f4dbe23c39
s2,xlstm,33,H+O1r+I,validation_candidate,100.0,0.9394487448049229,,2796,False,False,True,dccf573b89b98a0e2a3fd591a128c481f97147700158eb8c90e596f6c483d2c2,88557917abde54b9d45d042d36527692b7b0205e426c2122e772419edff1e464
